Date,Open,High,Low,Last,Vol,Diff,Hash,LS,LS_TH_S,LS_P,LS_MWh_TH,HS,HS_TH_S,HS_P,HS_MWh_TH,UK_EP,US_EP,AUS_EP,RU_EP
2012-04-29,4.92,4.96,4.81,4.91,114752.7914,1508590,12.44873829,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,74.00575,23.64,33.0233996,30.1246
2012-04-30,4.92,5.02,4.87,5,114752.7914,1508590,12.44873829,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,74.256825,29.32,36.5075998,29.6457
2012-05-01,4.94,5.04,4.86,4.97,190801.28,1508590,13.42363949,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,73.191834,27.32,34.94799,30.5372
2012-05-02,5.01,5.15,5.01,5.06,190801.28,1508590,13.42363949,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,74.758385,30.06,32.0570992,29.7721
2012-05-03,5.06,5.13,5.05,5.1,204237.082,1508590,12.44873829,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,74.837125,32.37,33.0046444,30.7711
2012-05-04,5.1,5.15,5.07,5.07,204237.082,1508590,12.44873829,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,74.78839,29.78,31.3410624,30.3394
2012-05-05,5.09,5.11,5.04,5.04,124846.5456,1508590,11.6988143,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,74.78839,25.54,31.0805568,32.7602
2012-05-06,5.06,5.1,5.02,5.08,124846.5456,1508590,11.6988143,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,74.78839,22.17,29.0697792,32.5378
2012-05-07,5.05,5.08,4.97,5.05,253896.4932,1508590,12.82370029,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,74.78839,27.85,29.4730702,32.4524
2012-05-08,5.06,5.08,4.99,5.02,253896.4932,1508590,12.82370029,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,72.702,28.91,28.5758865,33.6727
2012-05-09,5.02,5.08,5.01,5.02,223343.82,1733208,14.12994691,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,74.68653,28.17,27.9179155,33.6727
2012-05-10,5.02,5.04,4.87,4.87,223343.82,1733208,14.12994691,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,74.90352,25.21,28.874718,31.7428
2012-05-11,4.97,4.97,4.87,4.95,347139.456,1733208,10.59746018,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,73.03815,25.57,26.0758522,30.9060
2012-05-12,4.95,4.97,4.91,4.91,347139.456,1733208,10.59746018,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,73.03815,23.82,26.4986118,30.0235
2012-05-13,4.95,4.95,4.94,4.94,80335.332,1733208,11.37288409,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,73.03815,23.43,24.8887192,27.5108
2012-05-14,4.93,4.99,4.88,4.93,80335.332,1733208,11.37288409,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,74.82315,26.89,29.6021316,29.5160
2012-05-15,4.95,5.01,4.9,4.95,270779.6055,1733208,11.28672588,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,59.1704,27.07,27.9758016,28.9346
2012-05-16,5,5.04,4.98,5.04,270779.6055,1733208,11.28672588,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,71.51545,28.33,27.9807352,28.8503
2012-05-17,5.02,5.03,5.01,5.02,152339.6589,1733208,10.16666911,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,70.04639,26.85,26.482453,29.2479
2012-05-18,5.03,5.07,5.03,5.07,152339.6589,1733208,10.16666911,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,68.3208,27.66,26.1186996,28.1118
2012-05-19,5.08,5.08,5.05,5.07,136034.2711,1733208,12.57909907,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,68.3208,30.58,26.0813,26.8387
2012-05-20,5.03,5.08,5.03,5.03,136034.2711,1733208,12.57909907,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,68.3208,29.88,26.2230248,25.5839
2012-05-21,5.04,5.09,5.01,5.08,227834.0883,1733208,11.37288409,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,68.0604,32.46,27.2997292,29.4183
2012-05-22,5.05,5.07,5,5.03,227834.0883,1733208,11.37288409,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,64.856515,33.73,26.2927185,28.8859
2012-05-23,5.02,5.1,5.02,5.1,301973.9648,1733208,10.42514375,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,64.15574,35.94,26.971425,27.9697
2012-05-24,5.08,5.12,5.04,5.12,301973.9648,1733208,10.42514375,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,62.676,36.33,28.5811785,29.1686
2012-05-25,5.09,5.1,5.08,5.08,149575.503,1591075,9.174760781,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,63.57554,37.42,29.2044514,28.8494
2012-05-26,5.08,5.09,5.06,5.07,149575.503,1591075,9.174760781,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,63.57554,35.27,32.3969356,27.5683
2012-05-27,5.08,5.08,5,5.07,110795.054,1591075,12.97121352,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,63.57554,33.44,26.8751962,26.6462
2012-05-28,5.08,5.08,5.07,5.07,110795.054,1591075,12.97121352,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,62.72,38.72,28.0922,28.5332
2012-05-29,5.07,5.12,4.95,5.11,339889.092,1591075,10.75661609,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,66.46575,42.54,29.0023855,27.0759
2012-05-30,5.07,5.14,5.07,5.14,339889.092,1591075,10.75661609,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,62.694,37.99,28.789074,27.5439
2012-05-31,5.14,5.17,5.1,5.17,230005.901,1591075,11.54754374,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,63.92245,35.39,28.412567,27.5616
2012-06-01,5.17,5.24,5.16,5.22,230005.901,1591075,11.54754374,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,61.828025,28.17,27.135004,27.7702
2012-06-02,5.2,5.21,5.17,5.19,104793.7316,1591075,12.3384714,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,61.828025,24.53,27.552018,27.4507
2012-06-03,5.19,5.2,5.19,5.19,104793.7316,1591075,12.3384714,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,61.828025,24.23,26.5851274,25.3240
2012-06-04,5.18,5.24,5.14,5.22,284111.9573,1591075,11.94300757,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,63.5194,30.16,26.289378,27.5467
2012-06-05,5.22,5.49,5.22,5.37,284111.9573,1591075,11.94300757,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,63.51527,30.44,27.429788,27.5099
2012-06-06,5.39,5.49,5.37,5.42,245541.2877,1591075,13.36667734,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,65.9874,26.56,37.9544827,28.7212
2012-06-07,5.41,5.53,5.4,5.53,245541.2877,1591075,13.36667734,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,65.6058,26.51,36.5959272,27.3840
2012-06-08,5.48,5.63,5.46,5.61,343225.9149,1591075,11.70572927,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,65.802416,28.2,37.4784465,26.4331
2012-06-09,5.6,5.62,5.47,5.48,343225.9149,1591075,11.70572927,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,65.802416,27.15,39.3446878,28.5697
2012-06-10,5.54,5.54,5.42,5.42,174749.5932,1583178,13.3790336,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,65.802416,32.45,40.2515443,27.0373
2012-06-11,5.48,5.57,5.4,5.52,174749.5932,1583178,13.3790336,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,68.021415,46.08,#N/A,27.0373
2012-06-12,5.57,5.9,5.53,5.71,524411.0796,1583178,11.01802767,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,68.53,35.38,43.3523676,27.0373
2012-06-13,5.77,6,5.71,5.86,524411.0796,1583178,11.01802767,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,64.81926,27.78,35.1811304,29.9848
2012-06-14,5.86,5.91,5.79,5.9,261781.8924,1583178,11.49022886,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,63.7714,26.19,34.8680695,27.7581
2012-06-15,5.88,6.42,5.56,6.42,261781.8924,1583178,11.49022886,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,63.567175,26.56,33.295248,27.9163
2012-06-16,6.41,6.52,6.12,6.41,581911.3245,1583178,12.59203163,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,63.567175,29.17,32.223744,34.0763
2012-06-17,6.41,6.47,6.13,6.19,581911.3245,1583178,12.59203163,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,63.567175,27.33,30.525264,30.6108
2012-06-18,6.13,6.34,5.98,6.06,321949.8594,1583178,12.35593103,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,66.1973,32.66,32.658252,29.0252
2012-06-19,6.13,6.49,6.13,6.46,321949.8594,1583178,12.35593103,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,65.40768,41.15,37.352062,28.5210
2012-06-20,6.4,6.65,6.26,6.64,469733.814,1726567,11.67262013,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,64.667225,67.56,43.3413039,28.5877
2012-06-21,6.66,6.69,6.64,6.64,469733.814,1726567,11.67262013,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,64.21844,82.94,38.3367105,27.3191
2012-06-22,6.64,6.67,6.48,6.59,400394.3818,1726567,12.10176058,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,66.763404,42.22,41.265114,27.7380
2012-06-23,6.6,6.61,6.33,6.45,400394.3818,1726567,12.10176058,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,66.763404,32.59,38.362804,28.7884
2012-06-24,6.35,6.45,6.35,6.4,259613.4926,1726567,12.01593249,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,66.763404,27.2,35.54198,26.3087
2012-06-25,6.35,6.35,6.11,6.26,259613.4926,1726567,12.01593249,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,65.24668,29.24,41.4564332,27.7132
2012-06-26,6.26,6.46,6.17,6.41,364395.5502,1726567,12.7025572,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,66.45725,27.8,47.19649,27.6071
2012-06-27,6.41,6.68,6.34,6.49,364395.5502,1726567,12.7025572,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,66.00832,29.39,40.8551811,26.7391
2012-06-28,6.49,6.54,5.99,6.5,322139.8864,1726567,11.58679204,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,65.689085,49.75,36.6949128,26.8221
2012-06-29,6.5,6.63,6.49,6.52,322139.8864,1726567,11.58679204,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,67.02894,53.65,32.5051245,29.1383
2012-06-30,6.58,6.61,6.5,6.61,183006.036,1726567,12.18758867,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,67.02894,44.14,34.3706004,27.6270
2012-07-01,6.6,6.62,6.52,6.52,183006.036,1726567,12.18758867,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,67.02894,37.45,71.4375963,29.5529
2012-07-02,6.55,6.64,6.52,6.62,293475.5796,1726567,13.81832236,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,67.64114,47.63,102.4256856,33.3196
2012-07-03,6.61,6.66,6.4,6.44,293475.5796,1726567,13.81832236,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,66.82236,41.67,81.400124,33.3401
2012-07-04,6.44,6.55,6.36,6.44,253308.25,1751455,13.84337907,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,68.05908,38.52,73.5640353,35.2098
2012-07-05,6.52,6.66,6.52,6.6,253308.25,1751455,13.84337907,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,66.67558,48.81,73.3926015,35.1352
2012-07-06,6.59,6.6,6.39,6.59,316033.7349,1751455,13.32098741,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,66.13376,57.02,69.0173088,38.1223
2012-07-07,6.6,6.79,6.56,6.79,316033.7349,1751455,13.32098741,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,66.13376,44.62,65.121936,34.6649
2012-07-08,6.8,6.8,6.45,6.73,142961.2776,1751455,13.40805269,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,66.13376,39.36,61.385808,31.2462
2012-07-09,6.77,6.99,6.55,6.94,142961.2776,1751455,13.40805269,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,70.02226,36.72,77.832872,35.5463
2012-07-10,6.95,7.13,6.95,7.08,551389.2291,1751455,13.14685686,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,67.17562,36.42,81.7016472,35.0725
2012-07-11,7.08,7.15,7.04,7.14,551389.2291,1751455,13.14685686,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,67.73937,37.01,60.6116348,35.5434
2012-07-12,7.15,7.59,7.1,7.58,511369.3312,1751455,13.14685686,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,66.70015,40.77,66.7440444,35.6341
2012-07-13,7.6,7.69,7.46,7.59,511369.3312,1751455,13.14685686,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,66.181,55.21,60.1396128,36.0645
2012-07-14,7.58,7.58,7.44,7.55,133457.0193,1751455,12.9727263,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,66.181,47.16,57.1000176,37.4310
2012-07-15,7.55,7.57,7.4,7.57,133457.0193,1751455,12.9727263,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,66.181,42.51,58.665312,36.7534
2012-07-16,7.57,8.3,7.14,8.3,896217.2065,1751455,12.88566102,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,65.81914,67.43,64.1773962,38.5996
2012-07-17,8.3,8.8,7.7,8.52,896217.2065,1751455,12.88566102,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,65.3471,90.38,63.6611451,38.5147
2012-07-18,8.5,9.15,8.36,9,1042768.89,1866391,14.00960107,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,65.27301,52.23,60.7959264,36.4267
2012-07-19,9.06,9.2,8.76,8.76,1042768.89,1866391,14.00960107,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,67.6089,44.28,62.6299668,38.0590
2012-07-20,8.76,8.76,7.93,8.44,1311324.73,1866391,12.89625529,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,66.771225,38.29,64.7804004,35.5684
2012-07-21,8.52,8.91,8.2,8.74,1311324.73,1866391,12.89625529,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,66.771225,32.94,65.2720332,37.0677
2012-07-22,8.74,8.8,8.3,8.42,279652.4556,1866391,12.89625529,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,66.771225,35.82,65.9887384,30.9594
2012-07-23,8.42,8.88,8.1,8.59,279652.4556,1866391,12.89625529,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,64.733375,50.62,88.210035,35.8510
2012-07-24,8.59,8.8,8.25,8.61,395666.9535,1866391,14.93738922,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,65.95827,46.47,80.42118,35.0615
2012-07-25,8.59,8.64,8.24,8.64,395666.9535,1866391,14.93738922,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,65.621325,42.48,62.629668,34.9528
2012-07-26,8.64,8.83,8.45,8.75,314058.675,1866391,16.51462907,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,66.03385,44.64,62.451081,37.3446
2012-07-27,8.76,8.91,8.76,8.83,314058.675,1866391,16.51462907,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,65.629328,42.07,62.3906228,37.5030
2012-07-28,8.83,9,8.78,8.88,166246.365,1866391,15.77239855,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,65.629328,36.06,60.7206809,32.6950
2012-07-29,8.79,8.79,8.7,8.71,166246.365,1866391,15.77239855,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,65.629328,35.81,66.7987243,31.8795
2012-07-30,8.7,9,8.54,9,517586.7464,2036671,18.73004176,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,64.72108,39.94,65.3720958,36.6887
2012-07-31,9,9.28,8.92,9.28,517586.7464,2036671,18.73004176,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,63.0959,39.44,73.248,35.4453
2012-08-01,9.28,9.5,8.9,9.45,731231.734,2036671,14.27532912,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,63.305125,52.86,83.0176956,37.2105
2012-08-02,9.45,10.52,9.4,10.42,731231.734,2036671,14.27532912,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,62.056,44.72,65.5862856,34.0539
2012-08-03,10.4,12,10.1,10.79,733557.4596,2036671,17.51512013,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,63.65887,49.66,64.3070805,38.5887
2012-08-04,10.96,11.2,10.5,10.55,733557.4596,2036671,17.51512013,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,63.65887,46.28,62.5314885,38.5756
2012-08-05,10.93,10.93,10.29,10.71,793867.814,2036671,14.680303,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,63.65887,41.01,56.7682128,34.3958
2012-08-06,10.71,10.99,10.43,10.84,793867.814,2036671,14.680303,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,63.80809,40.82,67.7375694,39.4541
2012-08-07,10.86,10.87,10.72,10.75,530884.505,2036671,15.08527688,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,62.9486,40.08,62.3217968,37.3400
2012-08-08,10.75,11.04,10.7,10.99,530884.505,2036671,15.08527688,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,64.412095,43.14,60.0127668,37.7164
2012-08-09,11,12.49,10.79,11,1245676.346,2036671,16.09771157,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,63.17348,37.67,60.9076545,36.5829
2012-08-10,11,11.5,10.9,11.32,1245676.346,2036671,16.09771157,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,61.23807,35.27,68.418135,35.5636
2012-08-11,11.32,11.4,11.25,11.38,266731.5027,2036671,15.9964681,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,61.23807,32.75,63.9946125,35.6512
2012-08-12,11.4,11.69,11.34,11.49,266731.5027,2036671,15.9964681,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,61.23807,32.29,60.8242275,32.9829
2012-08-13,11.42,11.98,11.4,11.89,755266.265,2190866,16.66300633,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,63.82574,38.53,60.1932328,34.8966
2012-08-14,11.9,12.3,11.81,12.25,755266.265,2190866,16.66300633,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,65.208,37.67,60.2142566,34.8265
2012-08-15,12.13,13.2,12.13,13.01,797355.594,2190866,18.62336001,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,63.998242,36.62,58.1096664,34.6255
2012-08-16,13.14,13.5,12.75,13.42,797355.594,2190866,18.62336001,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,64.4971,40.33,56.5499799,32.2487
2012-08-17,13.49,16.41,11.5,12.5,3136509.619,2190866,15.57392095,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,66.7165,35.44,56.7807408,34.9745
2012-08-18,12.64,12.99,11.11,11.54,3136509.619,2190866,15.57392095,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,66.7165,31.3,60.1690656,32.5020
2012-08-19,11.86,11.86,7.1,8.06,2270040.973,2190866,17.20754902,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,66.7165,28.58,63.0230496,30.6923
2012-08-20,8.09,10.33,7.86,10.05,2270040.973,2190866,17.20754902,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,67.0817,31.74,62.8838124,33.4678
2012-08-21,9.79,10.51,9.53,10.18,789040.1403,2190866,19.7124454,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,65.262705,33.29,58.9958406,34.0131
2012-08-22,9.99,10.71,9.75,9.96,789040.1403,2190866,19.7124454,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,66.299,33.09,55.0409715,31.7046
2012-08-23,9.96,10.19,9.78,10.02,604249.4,2190866,17.96990879,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,67.39225,35,54.168111,36.9760
2012-08-24,10.03,10.51,9.83,10.37,604249.4,2190866,17.96990879,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,66.129047,42.23,56.1562372,36.8702
2012-08-25,10.45,10.58,10.14,10.57,440998.4412,2440643,15.89357527,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,66.129047,35.01,55.2439818,33.6407
2012-08-26,10.57,10.62,10.2,10.31,440998.4412,2440643,15.89357527,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,66.129047,33.63,54.2495506,30.6812
2012-08-27,10.31,11.93,10.31,10.78,2070915.673,2440643,18.07742531,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,65.45784,41.43,56.1159911,36.5794
2012-08-28,10.9,11.21,10.63,11,2070915.673,2440643,18.07742531,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,66.26904,37.55,54.6635516,37.2800
2012-08-29,11,11.05,10.49,10.78,644458.2708,2440643,20.13995034,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,66.1694,35.46,53.6605636,36.0986
2012-08-30,10.81,10.91,10.51,10.65,644458.2708,2440643,20.13995034,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,65.8982,37.15,52.9039812,34.8480
2012-08-31,10.65,10.8,9.69,10.16,739505.2154,2440643,17.34947529,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,66.200472,46.9,57.515424,34.6460
2012-09-01,10.2,10.2,9.85,9.91,739505.2154,2440643,17.34947529,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,66.200472,38.98,58.073736,32.0214
2012-09-02,10.07,10.18,9.49,10.18,278454.1792,2440643,18.56272532,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,66.200472,33.24,53.264616,31.6741
2012-09-03,10.17,10.55,9.95,10.55,278454.1792,2440643,18.56272532,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,68.988555,33.12,59.5999198,35.7111
2012-09-04,10.36,10.5,10.14,10.36,401414.175,2440643,15.52960026,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,69.50184,39.51,53.7059545,34.9368
2012-09-05,10.38,10.99,10.12,10.99,401414.175,2440643,15.52960026,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,68.922165,42.26,52.888138,34.9686
2012-09-06,10.9,11.15,10.68,11.02,811818.563,2694048,24.90946413,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,68.5033,50.82,52.064088,34.1391
2012-09-07,11.03,11.1,10.83,11.03,811818.563,2694048,24.90946413,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,69.221625,49.24,52.7632911,33.8459
2012-09-08,10.98,11.11,10.3,10.97,310702.9809,2694048,18.74905902,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,69.221625,36.12,51.8163615,35.7018
2012-09-09,10.97,11.04,10.84,10.98,310702.9809,2694048,18.74905902,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,69.221625,28.73,54.1442301,35.2407
2012-09-10,10.85,11.08,10.74,10.95,520663.3187,2694048,19.28474642,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,69.30798,32.83,56.62906,38.7477
2012-09-11,10.95,11.04,10.38,11.04,520663.3187,2694048,19.28474642,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,71.26158,32.42,57.223101,34.7872
2012-09-12,11.04,11.14,10.75,11.14,717404.1042,2694048,18.88298087,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,70.30269,34.29,54.723578,33.6896
2012-09-13,11.17,11.42,10.98,11.3,717404.1042,2694048,18.88298087,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,68.16144,38.25,57.8268719,34.2940
2012-09-14,11.26,11.7,11.05,11.5,559070.1532,2694048,21.69533972,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,67.900044,36.33,57.8129625,36.6781
2012-09-15,11.6,11.65,11.35,11.63,559070.1532,2694048,21.69533972,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,67.900044,32.11,57.619989,39.0062
2012-09-16,11.63,11.8,11.53,11.75,396754.7148,2694048,20.08827752,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,67.900044,32.85,56.344044,37.0924
2012-09-17,11.75,11.88,11.58,11.85,396754.7148,2694048,20.08827752,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,71.88855,38.43,57.3386277,36.0059
2012-09-18,11.85,12.28,11.67,11.91,585271.0488,2694048,22.36494897,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,70.81512,40.44,57.0290168,36.1616
2012-09-19,11.9,12.5,11.9,12.32,585271.0488,2694048,22.36494897,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,72.179,35.22,56.9754178,36.5303
2012-09-20,12.44,12.66,12.28,12.28,455783.7374,2864141,20.92944794,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,72.963,33.95,54.8212418,36.1573
2012-09-21,12.29,12.35,12.01,12.19,455783.7374,2864141,20.92944794,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,71.804475,32.25,54.2760128,38.0318
2012-09-22,12.14,12.25,11.97,11.97,205984.19,2864141,24.48887787,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,71.804475,35.84,53.8159048,33.3660
2012-09-23,12.11,12.11,11.79,11.99,205984.19,2864141,24.48887787,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,71.804475,35.84,51.7799269,31.7339
2012-09-24,11.99,11.99,11.69,11.9,420821.64,2864141,22.21084272,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,69.660605,35.72,57.2739968,35.9162
2012-09-25,11.9,12.18,11.56,11.75,420821.64,2864141,22.21084272,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,68.22399,34.46,55.7871815,37.8718
2012-09-26,11.8,12.2,11.53,12.2,344213.7841,2864141,20.35993916,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,69.9093,34.02,52.1660085,37.1907
2012-09-27,12.2,12.38,11.84,12.22,344213.7841,2864141,20.35993916,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,68.187,31.82,52.435488,39.3605
2012-09-28,12.21,12.28,11.53,12.28,399267.594,2864141,23.34986029,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,67.856472,31.71,52.2637605,40.4310
2012-09-29,12.28,12.28,12.12,12.28,399267.594,2864141,23.34986029,S0,0.09,149.5,10.8,S0+,0.5,1129.5,7.56,67.856472,30.54,51.127479,38.2216
